Organization,Country,Type,Revenue (FY24-25),Revenue Currency,Revenue Growth YoY,EBITDA Margin,Hospitals/Centers,Total Beds,Cities,Employees,Market Position,Funding/PE Backing,Valuation,Digital Maturity Score,Mobile App,App Downloads,Social Media Followers,Website Traffic,Patient Rating,Key Differentiators,Technology Stack,CRM Platform,Marketing Automation,EHR/HIS,Patient Portal,Telehealth,Innovation Programs,Awards/Recognition,Expansion Plans,Competitive Threat Level,Source URLs
Rainbow Children's Hospital,India,Pediatric + Maternity,1570,INR Cr,25%,32-33%,19 hospitals + 4 clinics,1935,8,Not disclosed,#1 India Pediatric Chain,CDC + Abraaj (exited 2022),₹13183 Cr Market Cap,Medium,Yes (Android only),Not disclosed,32K Instagram,Not disclosed,4.3/5 JustDial,Highest margins in sector;Integrated maternity-pediatric model;NABH/JCI first,Sparc Technologies (app);Freshservice IT,Not disclosed,Not disclosed,Not disclosed,My RCH Portal (limited info),Hello Doctor telemedicine,Limited visibility,NABH First Corporate Pediatric;JCI First IVF;Times #1 Pediatrics 2022-23,900 beds by FY29;NCR 450 beds;Gurugram hub-spoke model,N/A (benchmark company),tracxn.com/d/companies/rainbow-hospitals;rainbowhospitals.in
Cloudnine Hospitals,India,Maternity + Pediatric,1486,INR Cr,25%,13.8%,40 centers,Not disclosed,13,1731,#1 India Birthing Chain,True North + TPG + Temasek ($205M),₹3320 Cr,Very High,Yes (iOS + Android),690000+,1M+ Facebook;46K Instagram;82K LinkedIn,Not disclosed,4.2/5 Google,Award-winning omnichannel app;40% stress reduction;Red Dot Award,Cloudnine App (in-house),Not disclosed,Not disclosed,Not disclosed,In-app portal,Video consultations,Omnichannel design excellence,Red Dot Award;Most app downloads in sector,Apollo Cradle acquisition (₹1500 Cr);6-7 new hospitals,High,tracxn.com/d/companies/cloudnine;apps.apple.com/in/app/cloudnine
Motherhood Hospitals,India,Women + Child,1440,INR Cr,122% CAGR,18%,23-24 hospitals,Not disclosed,11-12,4090,GIC/TPG Backed Chain,GIC $320M + TPG (via AHH),Not disclosed,Medium,Limited info,Not disclosed,Limited visibility,Not disclosed,4.6/5 Google (Noida),Highest EBITDA in peers;Tier-2 city strategy;AHH platform synergies,Not disclosed,Likely HubSpot/Zoho/Salesforce,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Part of AHH platform,8 new hospitals planned;14 cities expansion;IPO in 16-18 months,High,tracxn.com/d/companies/motherhood;business-standard.com
Apollo Cradle,India,Maternity + Pediatric,614,INR Cr,15%,5%,13,363,7,Not disclosed,Apollo Group Subsidiary,Apollo Hospitals Enterprise,Part of AHEL,Medium-High,Apollo 24/7 (parent app),Not disclosed (parent 150K bookings/mo),Part of Apollo network,Not disclosed,4.8/5 Google,Apollo brand trust;JCI accreditation;Natural is Priceless campaign,Apollo 24/7 platform,Apollo infrastructure,Apollo infrastructure,Not disclosed,ASK Apollo,Apollo 24/7 telehealth,Part of Apollo innovation,Marketing Campaign of Year Award,Being acquired by Cloudnine (₹1500 Cr pending),Medium-High,tracxn.com/d/companies/apollo-cradle;apollohospitals.com
Fortis La Femme,India,Boutique Women,Not disclosed (parent ₹6768 Cr),INR Cr,Not disclosed,Not disclosed,2,113,2,Not disclosed,Boutique Premium Segment,Fortis Healthcare,Not disclosed,Medium,Parent app,Not disclosed,Parent company presence,Not disclosed,Not disclosed,Boutique model;11000+ deliveries (Delhi);NABH accredited,Parent infrastructure,Parent infrastructure,Parent infrastructure,Not disclosed,Parent infrastructure,Parent infrastructure,Part of Fortis network,NABH accredited,Limited expansion (boutique strategy),Low,fortishealthcare.com
Fernandez Hospital,India,Women + Child,Not disclosed (NFP),INR,Not disclosed,Not disclosed,3 + 3 clinics,320,1 (Hyderabad only),Not disclosed,Hyderabad Heritage Leader,Not-for-profit Foundation,Not applicable,Low,Not identified,Not applicable,15K Instagram,Not disclosed,4.0/5 HexaHealth;Mixed reviews,76+ years heritage;NABH accredited;Wish what you can pay policy,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Fernandez Foundation social mission,Hyderabad clinics expansion only,Low,fernandezhospital.com;wikipedia.org/wiki/Fernandez_Hospital
KIMS Cuddles,India,Pediatric + Maternity,3070 (parent KIMS),INR Cr,23.3%,Margin pressure,9 (parent KIMS),6114 (parent),Multiple AP/Telangana,Not disclosed,AP/Telangana Leader,Publicly listed (KIMS),Not disclosed,Medium,Basic website,Not disclosed,Parent company presence,Not disclosed,4.8/5 JustDial,Level IV NICU;ARPOB ₹42016;Part of largest AP/TG chain,WordPress;MailChimp;Cloudflare,MailChimp,Not disclosed,Not disclosed,Not disclosed,Not disclosed,KIMS network expansion,Doubling to 8000 beds;Kerala 3000 beds;Bangalore 700 beds,Medium,kimscuddles.com;tracxn.com/d/companies/kims-hospitals
Boston Children's Hospital,USA,Pediatric,2490,USD M,Not disclosed,Not disclosed,1 main campus,Not disclosed,1,15422,Top US Children's Hospital,$100M+ accelerator portfolio,Not disclosed,Very High,MyChildren's (iOS/Android),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Innovation accelerator;5 spinout companies;Smart room technology,Epic;Microsoft BI,Not disclosed,Not disclosed,Epic,MyChildren's (MyChart),Virtual visits;Smart speakers;AR,IDHA Accelerator ($100M+ raised),Healthcare Marketing Impact Award 2023,Expansion through innovation partnerships,Benchmark - Global Leader,childrenshospital.org;healthleadersmedia.com
Texas Children's Hospital,USA,Pediatric,Not disclosed,USD,Not disclosed,Not disclosed,Not disclosed,Not disclosed,1,Not disclosed,Part of Texas Medical Center,Not disclosed,Not disclosed,Very High,Texas Children's App + Anywhere Care,Not disclosed,Not disclosed,Not disclosed,Not disclosed,1M+ MyChart appointments;$7M staff time saved;Health Catalyst analytics,Epic;Health Catalyst;Microsoft BI;iCIMS,Not disclosed,Not disclosed,Epic,MyChart,Anywhere Care video,Technology Commercialization Office,Epic Transition Planning Tool,Analytics-driven expansion,Benchmark - Global Leader,healthcatalyst.com;appsruntheworld.com
Cincinnati Children's Hospital,USA,Pediatric,Not disclosed,USD,Not disclosed,Not disclosed,1 main campus,628,1,Not disclosed,Only Specialized Pediatric in Cincinnati,Not disclosed,Not disclosed,High,Not specified,Not disclosed,Not disclosed,Not disclosed,Not disclosed,75-person marketing team;WG Content partnership;Phone-first acquisition,Epic;Google Analytics;Google Adwords;WG Content,Not disclosed,Not disclosed,Epic,MyChart,Not disclosed,Website overhaul 2019,Research institution,Content marketing excellence,Benchmark - Marketing,wgcontent.com;cincinnatichildrens.org
